epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,110.807,0.65073,1.84318,1.19536,0.76433,0.92,0.995,0.93928,0.40317,0.72422,1.10299,0.000137015,0.000137015,0.000137015
133,111.609,0.47692,1.5717,1.06089,0.75936,0.9,0.995,0.94326,0.39391,0.73365,1.10052,0.000136648,0.000136648,0.000136648
134,112.422,0.55826,1.66923,1.10359,0.82123,0.88,0.995,0.94127,0.40873,0.76358,1.11607,0.000136282,0.000136282,0.000136282
135,113.235,0.65449,1.97853,1.26679,0.79975,0.88,0.995,0.93331,0.4212,0.76724,1.13017,0.000135916,0.000135916,0.000135916
136,114.055,0.60555,1.72196,1.29435,0.83818,0.88,0.995,0.9254,0.42673,0.75157,1.13187,0.00013555,0.00013555,0.00013555
137,114.866,0.51263,1.84898,1.06021,0.87368,0.88,0.995,0.93331,0.43114,0.71659,1.1285,0.000135183,0.000135183,0.000135183
138,115.754,0.5716,1.85385,1.22788,0.85278,0.9,0.995,0.93928,0.42028,0.68282,1.1127,0.000134817,0.000134817,0.000134817
139,116.561,0.63068,1.6025,1.117,0.88319,0.86,0.995,0.94525,0.40785,0.66657,1.09672,0.000134451,0.000134451,0.000134451
140,117.387,0.47352,1.74217,1.03709,0.87072,0.86,0.995,0.93928,0.39864,0.66153,1.08569,0.000134084,0.000134084,0.000134084
141,118.189,0.5671,1.84405,1.19203,0.83694,0.88,0.995,0.9353,0.39845,0.65834,1.08188,0.000133718,0.000133718,0.000133718
142,118.997,0.53199,1.91109,1.09979,0.84371,0.88,0.995,0.94525,0.38195,0.65595,1.06994,0.000133352,0.000133352,0.000133352
143,119.809,0.55702,1.63758,1.11474,0.907,0.84,0.995,0.95918,0.35601,0.64741,1.04581,0.000132985,0.000132985,0.000132985
144,120.64,0.573,1.67956,1.11448,0.78169,0.94,0.995,0.95719,0.34072,0.62933,1.0332,0.000132619,0.000132619,0.000132619
145,121.443,0.45301,1.5544,1.04994,0.82998,0.96,0.995,0.95719,0.33855,0.59812,1.037,0.000132253,0.000132253,0.000132253
146,122.259,0.5417,1.59164,1.15516,0.85364,0.96,0.995,0.96117,0.33654,0.58864,1.03592,0.000131886,0.000131886,0.000131886
